inst_id	|	inst_code	|	aka	|	inst_name	|	country	|	address	|	phone	|	fax	|	record_source	|	home_url	|	url_rule	|	comments	|	collection_type	|	qualifier_type	|	unique_name

1	|	AEI	|		|	American Entomological Institute	|	USA	|	3005 SW 56th Avenue, Gainesville, Florida 32608-5047	|		|		|	      	|	http://aei.tamu.edu/projects/17/public/site/aei/home	|	      	|		|	museum	|	specimen_voucher	|	AEI
2	|	AMG	|		|	Albany Museum	|	South Africa	|	Albany Museum, Somerset Street, Grahamstown 6139 	|	+27 46 6222312	|	+27 46 622 2398	|	      	|	http://www.ru.ac.za/static/affiliates/am/?request=affiliates/am/	|	      	|		|	museum	|	specimen_voucher	|	AMG
6	|	ANSP	|	      	|	Academy of Natural Sciences of Philadelphia	|	USA	|	1900 Benjamin Franklin Pkwy., Philadelphia, PA 19103-1195	|	(215) 299-1000	|	      	|	      	|	http://www.acnatsci.org/	|	      	|	      	|	museum	|	specimen_voucher	|	ANSP
10	|	CNC	|		|	Canadian National Collection of Insects, Arachnids, and Nematodes	|	Canada	|	960 Carling Avenue, K.W. Neatby Building, Ottawa, Ontario K1A 0C6 	|		|		|	      	|	http://www.canacoll.org/	|	      	|		|	museum	|	specimen_voucher	|	CNC
11	|	CIS	|		|	California Insect Survey	|	USA	|	Essig Museum of Entomology,  201 Wellman Hall MC-3112, University of California, Berkeley, California 94720-3112	|	510-643-0804	|		|	      	|	http://essig.berkeley.edu/	|	      	|		|	museum	|	specimen_voucher	|	CIS<USA-CA>
12	|	DEI	|	Deutsches Entomologisches Institut im ZALF	|	Senckenberg Deutsches Entomologisches Institut	|	Germany	|	Senckenberg Deutsches Entomologisches Institut, Eberswalder Str. 90, Mncheberg	|		|		|	      	|	http://www.senckenberg.de/root/index.php?page_id=5879&institutID=4	|	      	|		|	museum	|	specimen_voucher	|	DEI
13	|	DSIR	|	      	|	Department of Scientific and Industrial Research	|	New Zealand.	|	Entomology Division, Auckland	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	DSIR
14	|	FSAG	|	      	|	Faculte des Sciences Agronomiques de Gembloux	|	Belgium	|	      	|	      	|	      	|	      	|	      	|	      	|	Zoologie Generale et Applique	|	museum	|	specimen_voucher	|	FSAG
15	|	FSCA	|		|	Florida State Collection of Arthropods, Florida Department of  Agriculture and Consumer Services, Division of Plant Industry	|	USA	|	1911 SW 34th Street, Gainesville, Florida 32608-1268	|		|		|	      	|	http://www.fsca-dpi.org/	|	      	|		|	museum	|	specimen_voucher	|	FSCA
16	|	HALLE	|	      	|	Zoologisches Institut der Martin-Luther Universitaet	|	Germany	|	Halle	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	HALLE
17	|	Hyogo	|	      	|	Museum of Nature and Human Activities	|	Japan	|	Hyogo Museum	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	Hyogo
18	|	IML	|	      	|	Instituto Miguel Lillo	|	Argentina	|	Tucumn	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	IML
19	|	IRSN	|	      	|	Institut Royal des Sciences Naturelles de Belgique	|	Belgium	|	Bruxelles	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	IRSN
20	|	IZAC	|	      	|	Academia de Ciencias de Cuba, Instituto de Zoologia	|	Cuba	|	Habava	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	IZAC<CUB>
22	|	LUW	|	      	|	Landbouwuniversiteit Wageningen, Department of Entomology	|	the Netherlands	|	Wageningen	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	LUW
23	|	LUQ	|	      	|	Laval University	|	Canada	|	St. Foy, Quebec	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	LUQ
26	|	MHNB	|	      	|	Museum d'Histoire Naturelle de Bale	|	Switzerland	|	Ble (= Basel)	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	MHNB
28	|	MNHN	|		|	Museum National d'Histoire Naturelle	|	France	|	25 Rue Cuvier, 75005 Paris	|		|		|	      	|	http://www.mnhn.fr/museum/foffice/science/science/sommaire.xsp	|	      	|		|	museum	|	specimen_voucher	|	MNHN
29	|	MRAC	|	      	|	Musee Royal de l'Afrique Centrale	|	Belgium	|	Steenweg op Leuven, 1980 Tervuren	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	MRAC
31	|	MSNT	|		|	Museo Regionale di Scienze Naturali, Torino	|	Italy 	|	Torino	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	MSNT<ITA-Torino>
32	|	MZL	|	      	|	Musee Zoologique	|	Switzerland	|	Lausanne	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	MZL
36	|	SU	|	      	|	Oregon State University	|	USA	|	Corvallis, Oregon	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	SU<USA-OR>
37	|	XUM	|	      	|	Hope Department of Entomology	|	Great Britain	|	Oxford	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	XUM
38	|	PIN	|	      	|	Paleontological Institute, Russian Academy of Sciences	|	Russia	|	Moscow	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	PIN<RUS>
39	|	PMA	|	      	|	Provincial Museum of Alberta	|	Canada.	|	Edmonton, Alberta	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	PMA<CAN>
41	|	QMB	|		|	Queensland Museum, Brisbane	|	Australia	|	Brisbane	|		|		|	      	|		|	      	|	preferred usage: QM	|	museum	|	specimen_voucher	|	QMB
46	|	SIF	|	      	|	Senckenbergisches Institut	|	Germany	|	Frankfurt	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	SIF
47	|	SMWN	|	      	|	State Museum	|	Namibia	|	Windhoek	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	SMWN
49	|	MP	|	      	|	Transvaal Museum	|	South Africa	|	Paul Kruger Street, P.O. Box 413, Pretoria, South Africa 0001	|	27 12 322-7632	|	      	|	      	|	http://www.nfi.org.za/tmpage.html	|	      	|	      	|	museum	|	specimen_voucher	|	MP<ZAF>
50	|	UCB	|	University of California	|	University of California at Berkeley	|	USA	|	Berkeley, California	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	UCB
52	|	UNL	|	      	|	University of Nebraska State Museum	|	USA	|	Lincoln, Nebraska	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UNL<USA-NE>
53	|	USNM	|		|	National Museum of Natural History, Smithsonian Institution	|	USA	|	10th Street and Constitution Ave, NW, Washington, D.C. 20560	|	202-633-1000	|		|	      	|	http://www.mnh.si.edu/rc/	|	http://collections.mnh.si.edu/services/resolver/resolver.php?voucher=Birds:&specimen-id;	|	=NMNH	|	museum	|	specimen_voucher,bio_material	|	USNM
54	|	USU	|	      	|	United States Department of Agriculture	|	USA	|	Bee Biology and Systematics Laboratory, Logan, Utah	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	USU
55	|	WAMP	|	      	|	Western Australian Museum	|	Australia	|	Perth, Western Australia	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	WAMP
56	|	IK	|	      	|	Zoological Institute, Ukrainian Academy of Sciences	|	Ukraine	|	Kiev	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	IK
59	|	ZMHU	|	      	|	Zoologisches Museum der Humboldt Universitaet	|	Germany	|	currently Museum fr Naturkunde der Humboldt-Universitt zu Berlin, Berlin	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMHU
60	|	ZMK	|	      	|	Zoological Museum, Copenhagen	|	Denmark	|	Copenhagen	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMK<DNK>
61	|	ZMMU	|	Zoological Museum of Moscow University	|	Zoological Museum, Moscow Lomonosov State University	|	Russia	|	Ul. Bol'shaya Nikitskaya 6, Moscow 125009	|		|		|	      	|	http://zmmu.msu.ru/eng/	|	      	|	= ZMM = ZMUM	|	museum	|	specimen_voucher	|	ZMMU
62	|	ZSBS	|	      	|	Zoologische Sammlung des Bayerischen Staates	|	Germany	|	Mnchen	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZSBS
65	|	AIS	|	      	|	Academie imperial des Sciences	|	France	|	Belles-lettres et Arts de Marseille	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AIS
66	|	ALM	|	      	|	Museum National Historie Naturelle	|	      	|	Laboratoire de Palaeontologie	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ALM<FRA>
68	|	AM	|		|	Asenovgrad Paleontology Museum	|	Bulgaria	|	Asenovgrad	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	AM<BLG>
71	|	AMSA	|	      	|	Albany Museum	|	South Africa	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AMSA
74	|	AS	|	      	|	Paleontological Collection	|	Germany	|	Munster Universtitat, Munster	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AS<DEU>
75	|	ASDM	|		|	Arizona-Sonora Museum	|	USA	|	Arizona	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	ASDM
76	|	AUGD	|	      	|	Department of Geology and Petroleum Geology	|	      	|	University of Aberdeen, Aberdeen	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AUGD
77	|	AZAN	|	      	|	Akademia Nauk Azerbaijana-Bulgarian Academy of Science of Azerbaijan	|	Azerbaijan	|	Baku	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AZAN
78	|	BAS	|	      	|	Bulgarian Academy of Science	|	Bulgaria	|	Bulgarska Akademia Naukite, Sofia	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BAS<BGR>
79	|	BB	|	      	|	Buffalo Bill Museum	|	      	|	Cody, Wyoming	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BB<USA-WY>
80	|	BGHan	|	      	|	Bundesanstalf fuer Geowissenschaften und Rohstoffe	|	Germany	|	Niederschsiches Landesamt fr Bodenforschung,Hannover	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BGHan
81	|	BGM	|	      	|	Bath Geology Museum (now the Royal Literary and Scientific Institution)	|	England	|	Bath	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BGM
82	|	BGR	|	      	|	Bundesanstalt fur Geowissenschaften und Rohstoffe	|	Germany	|	Hannover	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BGR
83	|	BGS	|	      	|	British Geological Survey	|	England	|	Keyworth	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BGS
84	|	BHM	|	      	|	Black Hills Museum of Natural History	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BHM<USA-SD>
85	|	BMB	|	      	|	Booth Museum of Natural History	|	England	|	Brighton, East Sussex	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BMB
86	|	BM	|	      	|	Bristol Museum	|	England	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BM<GBR-BRISTOL>
88	|	BMM	|	      	|	Buergermeister Mueller, Museum	|	Germany	|	Solnhfen	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BMM
89	|	BNHM	|	      	|	Beijing Natural History Museum	|	China	|	Beijing	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BNHM<CHN>
90	|	BMRP	|	      	|	Burpee Museum Rockford Paleontology	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BMRP
91	|	BPI	|	      	|	Bernard Price Institute for Palaeontological Research	|	South Africa	|	University of the Witwaaterstrand, Johannesburg	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BPI<ZAF>
92	|	BPM	|	      	|	Beipiao Paleontological Museum	|	China	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BPM
93	|	BRSMG	|	      	|	Department of Geology	|	England	|	Bristol, City Museum and Art Gallery, Bristol	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BRSMG
94	|	BRV	|	      	|	Colecciones paleontologicas del Departamento de Geociencias de la Universidad Nacional de Colombia	|	Colombia	|	Bogota	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BRV
95	|	BSPG	|		|	Bayerische Staatssammlung fur Palaontologie und  Geologie	|	Germany	|	Mnich (old Bayerische Staatssammlung fr Palontologie und Historische Geologie)	|		|		|	      	|		|	      	|	BS, BSPHGM, BSPG or BSP	|	museum	|	specimen_voucher	|	BSPG
98	|	CAS-SU	|		|	California Academy of Sciences, Stanford University Collection	|		|	San Francisco, California	|		|		|	      	|		|	      	|	=CAS(SU)	|	museum	|	specimen_voucher	|	CAS-SU
100	|	CCG	|		|	Chengdu College of Geology	|	China	|	Sichuan Province	|		|		|	      	|		|	      	|	=CHG	|	museum	|	specimen_voucher	|	CCG<CHN>
101	|	CCM	|	      	|	Carter County Museum	|	USA	|	306 N. Main Street, P.O. Box 547, Ekalaka, Montana 59324	|	406-775-6886	|	      	|	      	|	      	|	      	|	fossil collection	|	museum	|	specimen_voucher	|	CCM<USA-MT>
102	|	CCMGE	|	      	|	Chernyshev Central Museum of Geological Explorations,Collections of the Department of Herpetology, Zoological Institute of the Russian Academy of Sciences	|	Russia	|	St. Petersburg	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CCMGE
103	|	CCSRL	|	      	|	Centro Studi e Ricerche Ligabue	|	Italy	|	Venince	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CCSRL
104	|	CEU	|		|	Collage of Eastern Utah	|	USA	|	Prehistoric Museum, Price, Utah	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	CEU
105	|	CGH	|	      	|	National Museum of Prague	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CGH
108	|	CHNCB	|	      	|	Centre d'Historia Natural de la Conca de Barbera	|	Spain	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CHNCB
110	|	CM	|	      	|	Chongqing Museum	|	People Republic of China	|	Sichuan Province	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CM<CHN>
111	|	CMGP	|	      	|	Central Museum of Geological Prospecting	|	Russia	|	Saint Petersburg	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CMGP
112	|	CMN	|	Natures Museum of Canada	|	Canadian Museum of Nature	|	Canada	|	National Museum of Canada	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CMN
113	|	CMNH	|		|	The Cleveland Museum of Natural History	|	USA	|	1 Wade Oval Drive, University Circle,  Cleveland, Ohio 44106-1767	|	216-231-4600/800-317-9155	|		|	      	|	http://www.cmnh.org/	|	      	|		|	museum	|	specimen_voucher	|	CMNH
