ID	LABEL	Type	SubClass Of [NAME NAMED]	IAO:0000115	IAO:0000117	IAO:0000114	dc:date
ID	AL rdfs:label@en	TYPE	SC %	AL definition@en	A IAO:0000117 SPLIT=|	AI IAO:0000114	AT dc:date^^xsd:dateTime
GENEPIO:0001121	DataHarmonizer field	class	https://w3id.org/linkml/SlotDefinition	A field specification used in the Canadian COVID-10 Genomics Network (CanCOGeN) DataHarmonizer application.	https://orcid.org/0000-0002-9578-0788	requires discussion	
GENEPIO:0001122	DataHarmonizer field - database identifiers	class	DataHarmonizer field	A CanCOGeN DataHarmonizer field that refers to a database identifier.	https://orcid.org/0000-0002-9578-0788	requires discussion	
GENEPIO:0001150	DataHarmonizer field - sample collection and processing	class	DataHarmonizer field	A CanCOGeN DataHarmonizer field that refers to sample collection and processing information.		requires discussion	
GENEPIO:0001268	DataHarmonizer field - host information	class	DataHarmonizer field			requires discussion	
GENEPIO:0001403	DataHarmonizer field - host vaccination information	class	DataHarmonizer field			requires discussion	
GENEPIO:0001409	DataHarmonizer field - host exposure information	class	DataHarmonizer field			requires discussion	
GENEPIO:0001434	DataHarmonizer field - host reinfection information	class	DataHarmonizer field			requires discussion	
GENEPIO:0001441	DataHarmonizer field - sequencing	class	DataHarmonizer field			requires discussion	
GENEPIO:0001457	DataHarmonizer field - bioinformatics and QC metrics	class	DataHarmonizer field			requires discussion	
GENEPIO:0001498	DataHarmonizer field - lineage and variant information	class	DataHarmonizer field			requires discussion	
GENEPIO:0001506	DataHarmonizer field - pathogen diagnostic testing	class	DataHarmonizer field			requires discussion	
GENEPIO:0001516	DataHarmonizer field - contributor acknowledgement	class	DataHarmonizer field			requires discussion	
IAO:0000112	example of usage	annotation property					
IAO:0000114	has curation status	annotation property					
IAO:0000115	definition	annotation property					
IAO:0000117	term editor	annotation property					
IAO:0000118	term editor	alternative label					
IAO:0100001	term replaced by	annotation property					
dc11:date		annotation property					
https://w3id.org/linkml/Example		class					
https://w3id.org/linkml/LocalName		class					
https://w3id.org/linkml/SlotDefinition		class					
https://w3id.org/linkml/examples		object property					
https://w3id.org/linkml/identifier		annotation property
https://w3id.org/linkml/local_names		object property					
https://w3id.org/linkml/maximum_value		data property					
https://w3id.org/linkml/minimum_value		data property					

rdfs:label		annotation property					
rdfs:seeAlso		annotation property					
https://w3id.org/linkml/comments		annotation property					
https://w3id.org/linkml/created_on		annotation property					
https://w3id.org/linkml/data_collection_state		annotation property					
https://w3id.org/linkml/description		annotation property		
https://w3id.org/linkml/local_name_value		annotation property					
https://w3id.org/linkml/pattern		annotation property					
https://w3id.org/linkml/see_also		annotation property					
https://w3id.org/linkml/value		annotation property	
https://w3id.org/linkml/multivalued		annotation property					
https://w3id.org/linkml/recommended		annotation property					
https://w3id.org/linkml/required		annotation property					
https://w3id.org/linkml/type_uri		annotation property					

