Ontology ID	label	Type	"term replaced by
ID"	term replaced by	deprecated	member of	is about	parent class ID	parent class	Subclass ID	Subclass axiom	created	english exact syn.	definition	definition source	example of usage	term editor	curation status	editor note	comment	in subset	database cross reference	see also	Equivalence axiom
ID	AL rdfs:label@en	TYPE	AI 'term replaced by'		A owl:deprecated	SC 'member of' some % SPLIT=| 	SC 'is about' some % SPLIT=|	SC % SPLIT=|		SC % SPLIT=|		AT dc:date^^xsd:dateTime	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	A IAO:0000112	A IAO:0000117 SPLIT=|	AI IAO:0000114	A IAO:0000116	AL rdfs:comment@en	A inSubset SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	A rdfs:seeAlso SPLIT=|	EC %
																								
GENEPIO:0100000	RmYN02	class						NCBITaxon:10239	Viruses			2022-01-19T18:23:15.862Z		A severe acute respiratory syndrome-related coronavirus which is 1) bat-derived, 2) sharing 93.3% nucleotide identify with SARS-CoV-2, and 3) contains an insertion at the S1/S2 cleavage site in the spike protein.	https://en.wikipedia.org/wiki/RmYN02		0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
																								
GENEPIO:0100219	sampling strategy specification	class						IAO:0000033	directive information entity			2022-01-19T18:23:15.862Z		A directive information entity which realizes sample strategy specifications.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
GENEPIO:0100001	cluster/outbreak investigation strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z		A sampling strategy in which individuals are chosen for investigation into a disease cluster or outbreak.			0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.	The terms cluster and outbreak both describe the occurrence of new disease cases within a particular location and time period. The number of cases within a cluster are not necessarily greater than what is expected, however in an outbreak the number of cases does exceed the usual norm. In an outbreak the cases are confirmed to be epidemiologically linked while in a cluster an epidemiological connection is only suspected. Not all clusters are outbreaks, however each cluster needs to be investigated. [Source: https://covid19evidencereviews.saskhealthauthority.ca/en/permalink/coviddoc153]				
GENEPIO:0100002	diagnostic testing strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z		A sampling strategy in which individuals are sampled in the context of diagnostic testing.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
GENEPIO:0100003	research strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z		A sampling strategy in which individuals are sampled in order to perform research.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
GENEPIO:0100024	protocol testing strategy	class						GENEPIO:0100003	research			2022-01-19T18:23:15.862Z		A research sampling strategy in which samples are collected in order to test a method or protocol.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
GENEPIO:0100004	surveillance strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z		A sampling strategy in which individuals are sampled for surveillance investigations.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
																								
GENEPIO:0100005	baseline surveillance strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z	random sampling	A surveillance sampling strategy in which baseline is established at the beginning of a study or project by the selection of sample units via random sampling.			0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.	Such that each possible unit has a fixed and known or equal probability of selection. [Source: "Random Sample" (p.238) in Porta, M. (2014). A Dictionary of Epidemiology (6th ed.). Oxford University Press, Incorporated.]				
GENEPIO:0100006	targeted surveillance strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z	non-random sampling	A surveillance sampling strategy in which an aspired outcome is explicity stated.	"Target" (p.279) in Porta, M. (2014). A Dictionary of Epidemiology (6th ed.). Oxford University Press, Incorporated.		0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
GENEPIO:0100007	priority surveillance project strategy	class						GENEPIO:0100006	targeted surveillance			2022-01-19T18:23:15.862Z		A targeted surveillance strategy which is considered important and/or urgent.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
GENEPIO:0100008	screening for Variants of Concern strategy	class						GENEPIO:0100007	priority surveillance project			2022-01-19T18:23:15.862Z	screening for VoC|screening for VOC	A targeted surveillance strategy in which the aim is early detection of variants of concern (VoC) in individuals.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
GENEPIO:0100273	sample has epidemiological link to Variant of Concern strategy	class						GENEPIO:0100008	screening for Variants of Concern			2022-01-19T18:23:15.862Z	sample has epidemiological link to VoC	A variant surveillance strategy in which a sample is sequenced because the individual from which the sample is derived has a known epidemiological link to a variant case.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
GENEPIO:0100274	sample has epidemiological link to Omicron variant strategy	class						GENEPIO:0100273	sample has epidemiological link to Variant of Concern			2022-01-19T18:23:15.862Z		A variant surveillance strategy in which a sample is sequenced because the individual from which the sample is derived has a known epidemiological link to an Omicron variant case.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.					
