Ontology ID	In Subset
ID	AT oboInOwl:inSubset^^xsd:string
GENEPIO:0100358	
GENEPIO:0100359	
GENEPIO:0100360	
GENEPIO:0100361	
GENEPIO:0100362	
GENEPIO:0100363	
GENEPIO:0100302	
GENEPIO:0100364	
GENEPIO:0100365	
GENEPIO:0100366	
GENEPIO:0100367	
GENEPIO:0100368	
GENEPIO:0100369	
GENEPIO:0100370	
GENEPIO:0100371	
	
GENEPIO:0100372	
GENEPIO:0100373	
GENEPIO:0100374	
GENEPIO:0100375	
GENEPIO:0100376	
GENEPIO:0100377	
	
GENEPIO:0100378	
GENEPIO:0100379	
GENEPIO:0100380	
GENEPIO:0100303	
GENEPIO:0100381	
GENEPIO:0100382	
GENEPIO:0100383	
GENEPIO:0100384	
GENEPIO:0100385	
GENEPIO:0100301	
GENEPIO:0100386	
GENEPIO:0100387	
GENEPIO:0100388	
GENEPIO:0100389	
GENEPIO:0100390	
GENEPIO:0100391	
GENEPIO:0100392	
GENEPIO:0100393	
GENEPIO:0100394	
GENEPIO:0100395	
GENEPIO:0100300	
	
GENEPIO:0100396	
GENEPIO:0100397	
GENEPIO:0100398	
GENEPIO:0100399	
	
GAZ:00002566	Covid-19
GAZ:00002562	Covid-19
GAZ:00002571	Covid-19
GAZ:00002570	Covid-19
GAZ:00002567	Covid-19
GAZ:00002575	Covid-19
GAZ:00002565	Covid-19
GAZ:00002574	Covid-19
GAZ:00002563	Covid-19
GAZ:00002572	Covid-19
GAZ:00002569	Covid-19
GAZ:00002564	Covid-19
GAZ:00002576	Covid-19
	
	
UO:0000035	Covid-19
UO:0000036	Covid-19
	
	
UO:0000036	Covid-19
UO:0000035	Covid-19
UO:0000033	Covid-19
	
	
OBI:0000895	Covid-19
OBI:0000869	Covid-19
OBI:0002627	Covid-19
GENEPIO:0100104	Covid-19
OBI:0002754	Covid-19
	
	
HP:0030829	Covid-19
HP:0000223	Covid-19
HP:0041051	Covid-19
HP:0031249	Covid-19
HP:0000224	Covid-19
HP:0004408	Covid-19
HP:0000458	Covid-19
HP:0004409	Covid-19
HP:0033677	Covid-19
HP:0011446	Covid-19
HP:0100543	Covid-19
HP:0001259	Covid-19
HP:0001289	Covid-19
HP:0031258	Covid-19
GENEPIO:0100061	Covid-19
HP:0000737	Covid-19
HP:0002371	Covid-19
HP:0011675	Covid-19
HP:0025406	Covid-19
HP:0031352	Covid-19
HP:0025145	Covid-19
HP:0025143	Covid-19
HP:0030953	Covid-19
HP:0000509	Covid-19
MP:0001867	Covid-19
HP:0012735	Covid-19
HP:0031246	Covid-19
HP:0031245	Covid-19
HP:0000961	Covid-19
HP:0001063	Covid-19
HP:0032556	Covid-19
GENEPIO:0100062	Covid-19
GENEPIO:0100063	Covid-19
GENEPIO:0100064	Covid-19
GENEPIO:0100065	Covid-19
HP:0002094	Covid-19
HP:0002014	Covid-19
MP:0031127	Covid-19
HP:0002383	Covid-19
HP:0001298	Covid-19
HP:0012378	Covid-19
HP:0001945	Covid-19
GENEPIO:0100066	Covid-19
HP:0000206	Covid-19
GENEPIO:0100067	Covid-19
HP:0002315	Covid-19
HP:0002105	Covid-19
HP:0012417	Covid-19
HP:0002615	Covid-19
HP:0012418	Covid-19
GENEPIO:0100068	Covid-19
HP:0011029	Covid-19
NCIT:C121416	Covid-19
HP:0004396	Covid-19
HP:0033834	Covid-19
HP:0031179	Covid-19
HP:0001324	Covid-19
HP:0001742	Covid-19
HP:0002018	Covid-19
HP:0000421	Covid-19
GENEPIO:0100069	Covid-19
HP:0012531	Covid-19
HP:0002027	Covid-19
HP:0002829	Covid-19
HP:0100749	Covid-19
HP:0033771	Covid-19
HP:0003326	Covid-19
HP:0025439	Covid-19
GENEPIO:0100070	Covid-19
HP:0002202	Covid-19
HP:0002090	Covid-19
HP:0033696	Covid-19
GENEPIO:0100072	Covid-19
GENEPIO:0100073	Covid-19
HP:0000988	Covid-19
HP:0031417	Covid-19
HP:0001250	Covid-19
HP:0020219	Covid-19
HP:0025144	Covid-19
HP:0001350	Covid-19
HP:0025095	Covid-19
HP:0033709	Covid-19
HP:0001297	Covid-19
HP:0002716	Covid-19
HP:0002789	Covid-19
HP:0002321	Covid-19
HP:0002013	Covid-19
	
	
GENEPIO:0100100	Covid-19
GENEPIO:0100101	Covid-19
GENEPIO:0100102	Covid-19
	
	
GENEPIO:0100037	Covid-19
GENEPIO:0100233	Covid-19
	Covid-19
	
	
OBI:0002600	Covid-19
OBI:0000880	Covid-19
OBI:0002754	Covid-19
OBI:0001010	Covid-19
GENEPIO:0001619	Covid-19
	
	
HP:0011009	Covid-19
	Covid-19
	Covid-19
EFO:0009642	Covid-19
	Covid-19
	Covid-19
	Covid-19
	Covid-19
	
	
VO:0004925	Covid-19
HP:0001903	Covid-19
HP:0002039	Covid-19
NCIT:C92743	Covid-19
NCIT:C80693	Covid-19
MONDO:0004992	Covid-19
MONDO:0007254	Covid-19
MONDO:0005575	Covid-19
DOID:2531	Covid-19
MONDO:0008903	Covid-19
MONDO:0024880	Covid-19
NCIT:C16212	Covid-19
NCIT:C157740	Covid-19
NCIT:C15632	Covid-19
NCIT:C15360	Covid-19
NCIT:C3079	Covid-19
HP:0011675	Covid-19
MONDO:0005267	Covid-19
HP:0001638	Covid-19
GENEPIO:0100074	Covid-19
HP:0000822	Covid-19
HP:0002615	Covid-19
HP:0011410	Covid-19
GENEPIO:0100075	Covid-19
GENEPIO:0100076	Covid-19
HP:0006528	Covid-19
NCIT:C211	Covid-19
HP:0000819	Covid-19
HP:0100651	Covid-19
HP:0005978	Covid-19
HP:0000964	Covid-19
HP:0003111	Covid-19
HP:0002901	Covid-19
HP:0002900	Covid-19
HP:0002917	Covid-19
HP:0002383	Covid-19
MONDO:0005027	Covid-19
NCIT:C15248	Covid-19
MONDO:0044348	Covid-19
MONDO:0005109	Covid-19
MONDO:0012268	Covid-19
NCIT:C16118	Covid-19
NCIT:C14139	Covid-19
MONDO:0004670	Covid-19
MONDO:0005265	Covid-19
HP:0002583	Covid-19
HP:0100279	Covid-19
HP:0100280	Covid-19
NCIT:C3149	Covid-19
MONDO:0005240	Covid-19
HP:0012622	Covid-19
HP:0000083	Covid-19
MONDO:0005154	Covid-19
NCIT:C113609	Covid-19
HP:0001397	Covid-19
HP:0003326	Covid-19
MONDO:0005404	Covid-19
MONDO:0005071	Covid-19
MONDO:0019056	Covid-19
HP:0001513	Covid-19
MONDO:0005139	Covid-19
MONDO:0005087	Covid-19
HP:0002099	Covid-19
HP:0004469	Covid-19
HP:0006528	Covid-19
HP:0006510	Covid-19
HP:0002097	Covid-19
MONDO:0005275	Covid-19
HP:0006528	Covid-19
HP:0002206	Covid-19
HP:0002090	Covid-19
HP:0002878	Covid-19
HP:0033677	Covid-19
MONDO:0009971	Covid-19
MONDO:0018076	Covid-19
GENEPIO:0100077	Covid-19
NCIT:C25742	Covid-19
MONDO:0005554	Covid-19
MONDO:0011382	Covid-19
NBO:0001845	Covid-19
MONDO:0002046	Covid-19
GENEPIO:0100078	Covid-19
GENEPIO:0100079	Covid-19
NBO:0015005	Covid-19
NCIT:C173621	Covid-19
HP:0002789	Covid-19
NCIT:C159659	Covid-19
NCIT:C131759	Covid-19
GENEPIO:0100080	Covid-19
NCIT:C157332	Covid-19
GENEPIO:0100081	Covid-19
	
	
GENEPIO:0100082	Covid-19
GENEPIO:0100083	Covid-19
GENEPIO:0100279	Covid-19
	
	
CIDO:0000019	Covid-19
CIDO:0000027	Covid-19
	
	
HP:0500165	Covid-19
HP:0001919	Covid-19
MONDO:0015796	Covid-19
GENEPIO:0100092	Covid-19
MONDO:0001208	Covid-19
HP:0011675	Covid-19
HP:0001649	Covid-19
HP:0031677	Covid-19
GENEPIO:0100084	Covid-19
GENEPIO:0100074	Covid-19
HP:0001695	Covid-19
HP:0030149	Covid-19
HP:0001977	Covid-19
HP:0004420	Covid-19
HP:0002625	Covid-19
HP:0002204	Covid-19
HP:0001638	Covid-19
MONDO:0024619	Covid-19
HP:0001297	Covid-19
MONDO:0003346	Covid-19
HP:0002140	Covid-19
HP:0001259	Covid-19
HP:0011097	Covid-19
NCIT:C171562	Covid-19
MONDO:0009061	Covid-19
MONDO:0600008	Covid-19
MPATH:108	Covid-19
HP:0001298	Covid-19
GENEPIO:0100088	Covid-19
MONDO:0016218	Covid-19
HP:0011029	Covid-19
MONDO:0013792	Covid-19
MONDO:0012727	Covid-19
GENEPIO:0100089	Covid-19
GENEPIO:0100090	Covid-19
HP:0001410	Covid-19
GENEPIO:0100091	Covid-19
MONDO:0100233	Covid-19
HP:0001287	Covid-19
HP:0002076	Covid-19
HP:0005268	Covid-19
MONDO:0100163	Covid-19
MONDO:0100319	Covid-19
GENEPIO:0100093	Covid-19
MONDO:0005404	Covid-19
MONDO:0005068	Covid-19
MONDO:0004781	Covid-19
MONDO:0041656	Covid-19
HP:0001700	Covid-19
NCIT:C168498	Covid-19
GENEPIO:0100085	Covid-19
HP:0033677	Covid-19
NCIT:C171551	Covid-19
GENEPIO:0100086	Covid-19
GENEPIO:0100094	Covid-19
HP:0001635	Covid-19
MONDO:0100192	Covid-19
HP:0003470	Covid-19
HP:0002107	Covid-19
HP:0002108	Covid-19
MONDO:0002075	Covid-19
HP:0002090	Covid-19
NCIT:C171550	Covid-19
HP:0001197	Covid-19
HP:0003201	Covid-19
IDO:0000567	Covid-19
GENEPIO:0100095	Covid-19
GENEPIO:0100096	Covid-19
HP:0001250	Covid-19
HP:0020219	Covid-19
HP:0100806	Covid-19
IDO:0000636	Covid-19
NCIT:C3364	Covid-19
HP:0031273	Covid-19
GENEPIO:0100097	Covid-19
GENEPIO:0100098	Covid-19
GENEPIO:0100099	Covid-19
NCIT:C35018	Covid-19
HP:0002633	Covid-19
	
	
GENEPIO:0100308	Covid-19
GENEPIO:0100307	Covid-19
GENEPIO:0100304	Covid-19
GENEPIO:0100305	Covid-19
GENEPIO:0100306	Covid-19
	
	
UBERON:0000178	Covid-19
UBERON:0006314	Covid-19
UBERON:0001836	Covid-19
UBERON:0001359	Covid-19
UBERON:0002409	Covid-19
UBERON:0001087	Covid-19
UBERON:0036243	Covid-19
UBERON:0000173	Covid-19
UBERON:0000479	Covid-19
	
	
UBERON:0001245	Covid-19
UBERON:0006956	Covid-19
UBERON:0002114	Covid-19
UBERON:0000970	Covid-19
UBERON:0000160	Covid-19
UBERON:0001558	Covid-19
UBERON:0002185	Covid-19
UBERON:0002048	Covid-19
UBERON:0002186	Covid-19
UBERON:0002169	Covid-19
UBERON:0009778	Covid-19
UBERON:0002402	Covid-19
UBERON:0003126	Covid-19
UBERON:0001052	Covid-19
UBERON:0001003	Covid-19
UBERON:0000945	Covid-19
UBERON:0001557	Covid-19
UBERON:2001427	Covid-19
UBERON:0001043	Covid-19
UBERON:0002453	Covid-19
UBERON:0001707	Covid-19
UBERON:0005921	Covid-19
UBERON:0005922	Covid-19
UBERON:0001728	Covid-19
UBERON:0001729	Covid-19
	
	
UBERON:0001913	Covid-19
UBERON:0001988	Covid-19
UBERON:0006530	Covid-19
UBERON:0000912	Covid-19
UBERON:0007311	Covid-19
UBERON:0001089	Covid-19
UBERON:0001827	Covid-19
UBERON:0001088	Covid-19
	
	
GENEPIO:0100037	Covid-19
GENEPIO:0100233	Covid-19
	
	
ENVO:03501208	Covid-19
ENVO:00003896	Covid-19
ENVO:03501209	Covid-19
ENVO:01000486	Covid-19
ENVO:02000058	Covid-19
ENVO:03501210	Covid-19
ENVO:03501220	Covid-19
ENVO:03501211	Covid-19
OBI:0002787	Covid-19
OBI:0002791	Covid-19
FOODON:00002403	Covid-19
FOODON:03490100	Covid-19
ENVO:01000481	Covid-19
ENVO:03501212	Covid-19
OBI:0002796	Covid-19
ENVO:03501213	Covid-19
ENVO:03501214	Covid-19
OBI:0002790	Covid-19
ENVO:03501215	Covid-19
ENVO:03501256	Covid-19
ENVO:01000060	Covid-19
ENVO:01000404	Covid-19
GENEPIO:0100025	Covid-19
ENVO:00002018	Covid-19
ENVO:01000990	Covid-19
ENVO:00001998	Covid-19
ENVO:03501216	Covid-19
ENVO:03501217	Covid-19
ENVO:03501218	Covid-19
ENVO:00002006	Covid-19
ENVO:00002001	Covid-19
ENVO:03501219	Covid-19
ENVO:00002040	Covid-19
	
	
ENVO:03501135	Covid-19
ENVO:00003040	Covid-19
ENVO:01000422	Covid-19
ENVO:03501136	Covid-19
ENVO:03501127	Covid-19
ENVO:03501121	Covid-19
ENVO:01000927	Covid-19
ENVO:03501145	Covid-19
ENVO:03501186	Covid-19
ENVO:03501196	Covid-19
ENVO:03501133	Covid-19
ENVO:00002173	Covid-19
ENVO:03501152	Covid-19
ENVO:03501194	Covid-19
ENVO:03501180	Covid-19
ENVO:03501204	Covid-19
ENVO:01000536	Covid-19
ENVO:03501130	Covid-19
ENVO:00003043	Covid-19
ENVO:03501109	Covid-19
ENVO:03501198	Covid-19
	
	
NCIT:C52009	Covid-19
NCIT:C15631	Covid-19
GENEPIO:0100028	Covid-19
GENEPIO:0100029	Covid-19
GENEPIO:0100030	Covid-19
OBI:0002650	Covid-19
OBI:0002651	Covid-19
OBI:0302885	Covid-19
GENEPIO:0100031	Covid-19
OBI:0600044	Covid-19
GENEPIO:0100032	Covid-19
GENEPIO:0100033	Covid-19
NCIT:C15327	Covid-19
MMO:0000344	Covid-19
NCIT:C28221	Covid-19
GENEPIO:0002116	Covid-19
GENEPIO:0100034	Covid-19
GENEPIO:0100035	Covid-19
GENEPIO:0002117	Covid-19
GENEPIO:0100036	Covid-19
GENEPIO:0100038	Covid-19
	
	
ENVO:00003968	Covid-19
OBI:0002859	Covid-19
OBI:0002826	Covid-19
OBI:0002088	Covid-19
GENEPIO:0100026	Covid-19
OBI:0002825	Covid-19
GENEPIO:0100103	Covid-19
OBI:0002827	Covid-19
OBI:0002858	Covid-19
OBI:0001128	Covid-19
OBI:0000436	Covid-19
OBI:0002860	Covid-19
OBI:0002861	Covid-19
OBI:0002831	Covid-19
GENEPIO:0100027	Covid-19
OBI:0002862	Covid-19
OBI:0002866	Covid-19
	
	
NCBITaxon:9606	Covid-19
NCBITaxon:9913	Covid-19
NCBITaxon:9615	Covid-19
NCBITaxon:9397	Covid-19
NCBITaxon:8930	Covid-19
NCBITaxon:9685	Covid-19
NCBITaxon:9031	Covid-19
NCBITaxon:9973	Covid-19
NCBITaxon:9974	Covid-19
NCBITaxon:452646	Covid-19
NCBITaxon:9689	Covid-19
NCBITaxon:9694	Covid-19
NCBITaxon:58055	Covid-19
NCBITaxon:59477	Covid-19
NCBITaxon:9825	Covid-19
NCBITaxon:9673	Covid-19
	
	
NCBITaxon:9606	Covid-19
NCBITaxon:9397	Covid-19
NCBITaxon:9685	Covid-19
NCBITaxon:9031	Covid-19
NCBITaxon:9673	Covid-19
NCBITaxon:9913	Covid-19
NCBITaxon:9615	Covid-19
NCBITaxon:9689	Covid-19
NCBITaxon:452646	Covid-19
NCBITaxon:9973	Covid-19
NCBITaxon:9825	Covid-19
NCBITaxon:8930	Covid-19
NCBITaxon:9694	Covid-19
	
	
NCIT:C3833	Covid-19
NCIT:C28554	Covid-19
NCIT:C115935	Covid-19
NCIT:C49498	Covid-19
NCIT:C25269	Covid-19
	
	
NCIT:C25179	Covid-19
GENEPIO:0100045	Covid-19
GENEPIO:0100046	Covid-19
NCIT:C70909	Covid-19
GENEPIO:0100047	Covid-19
GENEPIO:0100048	Covid-19
NCIT:C173768	Covid-19
	
	
NCIT:C28554	Covid-19
NCIT:C25254	Covid-19
NCIT:C49498	Covid-19
NCIT:C30103	Covid-19
	
	
NCBITaxon:2697049	Covid-19
NCBITaxon:2709072	Covid-19
GENEPIO:0100000	Covid-19
	
	
GENEPIO:0100001	Covid-19
GENEPIO:0100002	Covid-19
GENEPIO:0100003	Covid-19
GENEPIO:0100004	Covid-19
	
	
GENEPIO:0100005	Covid-19
GENEPIO:0100006	Covid-19
GENEPIO:0100007	Covid-19
GENEPIO:0100008	Covid-19
GENEPIO:0100273	Covid-19
GENEPIO:0100274	Covid-19
GENEPIO:0100009	Covid-19
GENEPIO:0100010	Covid-19
GENEPIO:0100011	Covid-19
GENEPIO:0100012	Covid-19
GENEPIO:0100013	Covid-19
GENEPIO:0100275	Covid-19
GENEPIO:0100276	Covid-19
GENEPIO:0100014	Covid-19
GENEPIO:0100015	Covid-19
GENEPIO:0100016	Covid-19
GENEPIO:0100017	Covid-19
GENEPIO:0100018	Covid-19
GENEPIO:0100019	Covid-19
GENEPIO:0100020	Covid-19
GENEPIO:0100021	Covid-19
GENEPIO:0100022	Covid-19
GENEPIO:0100023	Covid-19
GENEPIO:0100024	Covid-19
GENEPIO:0100356	Covid-19
	
	
GENEPIO:0100039	Covid-19
GENEPIO:0100040	Covid-19
OBI:0600016	Covid-19
	
	
GENEPIO:0100041	Covid-19
BTO:0000195	Covid-19
BTO:0002750	Covid-19
GENEPIO:0100042	Covid-19
BTO:0002181	Covid-19
GENEPIO:0100043	Covid-19
BTO:0001950	Covid-19
CLO:0007330	Covid-19
BTO:0000836	Covid-19
BTO:0002924	Covid-19
BTO:0001865	Covid-19
BTO:0002909	Covid-19
BTO:0002035	Covid-19
BTO:0001444	Covid-19
BTO:0004755	Covid-19
GENEPIO:0100044	Covid-19
	
	
MONDO:0100096	Covid-19
	
	
GENEPIO:0100049	Covid-19
GENEPIO:0100050	Covid-19
GENEPIO:0100051	Covid-19
GENEPIO:0100052	Covid-19
GENEPIO:0100053	Covid-19
GENEPIO:0100054	Covid-19
GENEPIO:0100055	Covid-19
GENEPIO:0100056	Covid-19
GENEPIO:0100057	Covid-19
GENEPIO:0100058	Covid-19
GENEPIO:0100059	Covid-19
	
	
NCIT:C46110	Covid-19
NCIT:C46109	Covid-19
GSSO:000132	Covid-19
GSSO:004004	Covid-19
GSSO:004005	Covid-19
NCIT:C110959	Covid-19
	
	
GENEPIO:0100237	Covid-19
GENEPIO:0100240	Covid-19
GENEPIO:0100238	Covid-19
GENEPIO:0100239	Covid-19
	Covid-19
	Covid-19
	Covid-19
GENEPIO:0100241	Covid-19
GENEPIO:0100242	Covid-19
PCO:0000033	Covid-19
PCO:0000039	Covid-19
PCO:0000034	Covid-19
GENEPIO:0100243	Covid-19
GENEPIO:0100244	Covid-19
GENEPIO:0100245	Covid-19
PCO:0000035	Covid-19
PCO:0000037	Covid-19
PCO:0000038	Covid-19
	
	
	
GENEPIO:0100357	Covid-19
TRANS:0000001	Covid-19
GENEPIO:0100246	Covid-19
GENEPIO:0100247	Covid-19
GENEPIO:0100248	Covid-19
	
	
GENEPIO:0100249	Covid-19
OMRSE:00000058	Covid-19
OMRSE:00000030	Covid-19
NCIT:C25182	Covid-19
NCIT:C28293	Covid-19
GENEPIO:0100250	Covid-19
GENEPIO:0100251	Covid-19
GENEPIO:0100252	Covid-19
GENEPIO:0100253	Covid-19
GENEPIO:0100254	Covid-19
GENEPIO:0100255	Covid-19
	Covid-19
	Covid-19
GENEPIO:0100256	Covid-19
GENEPIO:0100257	Covid-19
GENEPIO:0100258	Covid-19
GENEPIO:0100259	Covid-19
GENEPIO:0100334	Covid-19
GENEPIO:0100262	Covid-19
OMRSE:00000014	Covid-19
GENEPIO:0100263	Covid-19
GENEPIO:0100264	Covid-19
OMRSE:00000013	Covid-19
GENEPIO:0100260	Covid-19
	Covid-19
GENEPIO:0100261	Covid-19
GENEPIO:0100354	Covid-19
GENEPIO:0100355	Covid-19
	Covid-19
	Covid-19
GENEPIO:0100265	Covid-19
OMRSE:00000001	Covid-19
GENEPIO:0100266	Covid-19
GENEPIO:0100267	Covid-19
GENEPIO:0100268	Covid-19
GENEPIO:0100269	Covid-19
