Issues / Notes	Ontology ID	label	alternative label	Reported	term tracker item	entity type	created	parent class ID	parent class label	is about	is about label (for reference only)	definition	definition source	example of usage	contributor	curation status	editor note	comment	database cross reference	see also	english exact synonym	english broad synonym	english narrow synonym	english related synonym
	ID	AL rdfs:label@en	AL IAO:0000118@en SPLIT=|		A IAO:0000233 SPLIT=|	TYPE	AT dc:date^^xsd:dateTime	SC % SPLIT=|				AL IAO:0000115@en	A IAO:0000119 SPLIT=|	A IAO:0000112	A dc:contributor SPLIT=|	A IAO:0000114	A IAO:0000116	AL rdfs:comment@en	AI oboInOwl:hasDbXref SPLIT=|	A rdfs:seeAlso SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|
Review definition, is about, update contributors and curation status manually.		data field category		Yes		class	2022-11-23T00:33:27.896Z	GENEPIO:0100586	data field			A data field which receives a range of one or more data fields.		An instance of a "data field category" that contains the "bioproject accession field", "biosample accession field", and "GISAID accession field".	https://orcid.org/0000-0002-9578-0788	requires discussion					data slot category			
	GENEPIO:0001122	database identifiers field category	database identifiers	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to database identifier fields.		An instance of the "database identifiers field category" that contains the "bioproject accession field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					database identifiers slot category			
	GENEPIO:0001150	sample collection and processing field category	sample collection and processing	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to sample collection and processing information fields.		An instance of the "sample collection and processing field category" that contains the "sample collection date field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					sample collection and processing slot category			
	GENEPIO:0001268	host information field category	host information	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to host information fields.		An instance of the "host information field category" that contains the "host (scientific name) field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					host information slot category			
	GENEPIO:0001403	host vaccination information field category	host vaccination information	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to host vaccination information fields.		An instance of the "host vaccination information field category" that contains the "host vaccination status field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					host vaccination information slot category			
	GENEPIO:0001409	host exposure information field category	host exposure information	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to host exposure information fields.		An instance of the "host exposure information field category" that contains the "exposure event field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					host exposure information slot category			
	GENEPIO:0001434	host reinfection information field category	host reinfection information	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to host reinfection information fields.		An instance of the "host reinfection information field category" that contains the "prior infection isolate field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					host reinfection information slot category			
	GENEPIO:0100453	strain and isolation information field category	strain and isolation information	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to strain and isolation information fields.		An instance of the "strain and isolation information field category" that contains the "microbiological method field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					strain and isolation information slot category			
	GENEPIO:0001441	sequencing field category	sequencing, sequencing information	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to sequencing information fields.		An instance of the "sequencing field category" that contains the "sequencing date field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					sequencing slot category | sequencing information slot category			
	GENEPIO:0001457	bioinformatics and QC metrics field category	bioinformatics and QC metrics	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to bioinformatics and quality control (QC) metrics fields.		An instance of the "bioinformatics and QC metrics field category" that contains the "dehosting method field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					bioinformatics and QC metrics slot category | bioinformatics and Quality Control metrics field category | bioinformatics and Quality Control metrics slot category			
	GENEPIO:0001498	lineage and variant information field category	lineage and variant information	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to lineage and variant information fields.		An instance of the "lineage and variant information field category" that contains the "lineage/clade name field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					lineage and variant information slot category			
	GENEPIO:0001506	pathogen diagnostic testing field category	pathogen diagnostic testing	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to pathogen diagnostic testing information fields.		An instance of the "pathogen diagnostic testing field category" that contains the "diagnostic pcr protocol field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					pathogen diagnostic testing slot category			
	GENEPIO:0001516	contributor acknowledgement field category	contributor acknowledgement	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0001121	data field category			A data field category which refers to contributor acknowledgement information fields.		An instance of the "contributor acknowledgement field category" that contains the "authors field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	ready for release					contributor acknowledgement slot category			
	GENEPIO:0100453	strain and isolation information field category	strain and isolation information	Yes		class	2022-06-25T03:32:51.876Z	GENEPIO:0001121	data field category			A data field category which refers to strain and isolation information fields.		An instance of the "strain and isolation information field category" that contains the "isolate received date field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion					strain and isolation information slot category			
	GENEPIO:0100477	public repository information field category	public repository information	Yes		class	2022-06-25T03:32:51.876Z	GENEPIO:0001121	data field category			A data field category which refers to public repository information fields.		An instance of the "public repository information field category" that contains the "publication ID field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion					public repository information slot category			
	GENEPIO:0100478	risk assessment information field category	risk assessment information	Yes		class	2022-06-25T03:32:51.876Z	GENEPIO:0001121	data field category			A data field category which refers to risk assessment information fields.		An instance of the "risk assessment information field category" that contains the "prevalence metrics field".	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion					risk assessment information slot category			
	GENEPIO:0100479	antimicrobial resistance field category	antimicrobial resistance	Yes		class	2022-06-25T03:32:51.876Z	GENEPIO:0001121	data field category			A data field category which refers to antimicrobial resistance fields.		An instance of the "antimicrobial resistance field category" that contains the "AMR* laboratory typing method field". *AMR = antimicrobial resistance	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion					antimicrobial resistance slot category			
Review definition, update contributors and curation status manually.  DEAL WITH DUPLICATE - ROBOT not recognizing the version in genepio-merge so added the ID back in.		data field		Yes		class	2022-11-23T00:33:27.896Z	IAO:0000027	data item			A data item which is a location for a predetermined type of data.	https://analystanswers.com/what-is-a-data-field-definition-types-examples/	The "specimen collector sample ID" is where one can store sample identifiers given by the specimen collector.	https://orcid.org/0000-0002-9578-0788	requires discussion	Value specification axioms will be applied to fields when true in all instances of a field. They have not yet been applied since they are undergoing a community review as of December 2022.				data slot	data column		
	GENEPIO:0100631	identifier field		Yes		class	2022-12-22T00:55:53.808Z	GENEPIO:0100586	data field	IAO:0000577	centrally registered identifier symbol	A data field which describes a symbol that is part of a centrally registered identifier database (CRID) and that is sufficient to look up a record from the CRID's registry.	http://purl.obolibrary.org/obo/IAO_0000577	third party lab sample ID field	https://orcid.org/0000-0002-9578-0788	requires discussion					identifier slot|ID field|ID slot	ID column|identifier column		
	GENEPIO:0001123	specimen collector sample ID field	specimen collector sample ID|sample_collector_sample_ID|sample collector sample identifier	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field		specimen collector sample identifier	An identifier data field which describes the user-defined name for the sample.		prov_rona_99	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Every Sample ID from a single submitter must be unique. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible.			specimen collector sample ID slot|sample collector sample identifier field|sample collector sample identifier slot			
	GENEPIO:0001202	third party lab service provider name field	third party lab service provider name	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		third party service provider	A data field which describes the name of the third party company or laboratory that provided services.		Switch Health	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide the full, unabbreviated name of the company or laboratory.			third party lab service provider name slot			
	GENEPIO:0001149	third party lab sample ID field	third party lab sample ID|third party lab sample identifier	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field		third party sample identifier	A data field which describes the identifier assigned to a sample by a third party service provider.		SHK123456	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Store the sample identifier supplied by the third party services provider.			third party lab sample ID slot|third party lab sample identifier field|third party lab sample identifier slot			
	GENEPIO:0100281	epidemiology case ID field	case ID|case identifier	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field		epidemiology case identifier	A data field which describes the identifier used to specify an epidemiologically detected case of disease.		ABCD1234	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide the case identifer. The case ID greatly facilitates linkage between laboratory and epidemiological data. The case ID may be considered identifiable information. Consult the data steward before sharing.			case ID slot|case identifier field|case identifier slot			
	GENEPIO:0001128	related specimen primary ID field	related specimen primary ID|related specimen primary identifier	Yes		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field		related specimen primary identifier	A data field which describes the primary identifer of a related specimen previously submitted to the repository.		SR20-12345	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Store the primary ID of the related specimen previously submitted to the National Microbiology Laboratory so that the samples can be linked and tracked through the system.			related specimen primary ID slot|related specimen primary identifier field|related specimen primary identifier slot			
