#curie_map:																																															
#  BCIO: https://www.bciosearch.org/BCIO_																																															
#  GENEPIO: http://purl.obolibrary.org/obo/GENEPIO_																																															
#  NCIT: http://purl.obolibrary.org/obo/NCIT_																																															
#  OMRSE: http://purl.obolibrary.org/obo/OMRSE_																																															
#  semapv: https://w3id.org/semapv/vocab/																																															
#  skos: "http://www.w3.org/2004/02/skos/core#"																																															
#  orcid: https://orcid.org/																																															
#mapping_set_id:																																															
#mapping_set_description: SSSOM serialization of mappings found in https://github.com/GenEpiO/genepio/blob/master/imports/term_mapping.owl, to fulfill https://github.com/GenEpiO/genepio/issues/142.																																															
#license: https://creativecommons.org/licenses/by/4.0/																																															
#mapping_date: 2026-05-27																																															
#creator_id:																																															
#  - "orcid:0000-0002-0548-891X"																																															
subject_id	subject_label	subject_category	predicate_id	mapping_justification	comment	object_id	object_label	object_category																																							
GENEPIO:0100500	sexual partner role	person role [GENEPIO:0001537]	skos:closeMatch	semapv:ManualMappingCuration		NCIT:C100812	Sexual Partner	Person by Relationship [NCIT:C198996]																																							
OMRSE:00000013	physician role	human social role [OMRSE:00000001]	skos:closeMatch	semapv:ManualMappingCuration		NCIT:C25741	Physician	Medical Occupation [NCIT:C19254]																																							
BCIO:015080	outpatient role	role [BFO:0000023]	skos:closeMatch	semapv:ManualMappingCuration		NCIT:C28293	Outpatient	Person by Health Status [NCIT:C199001]																																							
BCIO:015079	inpatient role	role [BFO:0000023]	skos:closeMatch	semapv:ManualMappingCuration		NCIT:C25182	Inpatient	Person by Health Status [NCIT:C199001]																																							
GENEPIO:0100272	spouse role	person role [GENEPIO:0001537]	skos:closeMatch	semapv:ManualMappingCuration		NCIT:C62649	Spouse	Person by Relationship [NCIT:C198996]																																							
UO:0010033	ounce	unit [UO:0000000]	skos:exactMatch	semapv:ManualMappingCuration		NCIT:C48519	Ounce	Unit of Measure [NCIT:C25709]																																							
UO:0010034	pound	unit [UO:0000000]	skos:exactMatch	semapv:ManualMappingCuration		NCIT:C48531	Pound	Unit of Measure [NCIT:C25709]																																							
ENVO:03501326	bottle	manufactured product [ENVO:00003074]	skos:narrowMatch	semapv:ManualMappingCuration		NCIT:C43169	Bottle	Medical Device [NCIT:C16830]																																							
ENVO:01001406	laboratory facility	research facility [ENVO:00000469]	skos:exactMatch	semapv:ManualMappingCuration		NCIT:C37984	Laboratory	Facility [NCIT:C62574]																																							
NCBITaxon:7370	Musca domestica	cellular organisms [NCBITaxon:131567]	skos:exactMatch	semapv:ManualMappingCuration		NCIT:C87500	Musca domestica	Organism [NCIT:C14250]																																							
VO:0000002	vaccination	planned process [OBI:0000011]	skos:exactMatch	semapv:ManualMappingCuration		NCIT:C15346	Vaccination	Activity [NCIT:C43431]																																							
OBI:0002650	biopsy	specimen collection process [OBI:0000659]	skos:closeMatch	semapv:ManualMappingCuration		NCIT:C15189	Biopsy	Diagnostic Procedure [NCIT:C18020]																																							
MONDO:0005267	heart disorder	human disease [MONDO:0700096]	skos:exactMatch	semapv:ManualMappingCuration	The definition for 'Disease or Disorder' [NCIT:C2991] implies human disease, matching MONDO's object	NCIT:C3079	Heart Disorder	Disease or Disorder [NCIT:C2991]																																							
MONDO:0005240	kidney disorder	human disease [MONDO:0700096]	skos:exactMatch	semapv:ManualMappingCuration	The definition for 'Disease or Disorder' [NCIT:C2991] implies human disease, matching MONDO's object	NCIT:C3149	Kidney Disorder	Disease or Disorder [NCIT:C2991]																																							
PATO:0001421	alive	organismal quality [PATO:0001995]	skos:narrowMatch	semapv:ManualMappingCuration		NCIT:C37987	Alive	Person Status [NCIT:C171086]																																							
OBI:0002609	rectal swab specimen	material entity [BFO:0000040]	skos:exactMatch	semapv:ManualMappingCuration		NCIT:C173641	Rectal Swab Specimen	Material [NCIT:C48187]																																							
