Ontology ID	Issues / Notes	Reported	label	Type	"term replaced by
ID"	term replaced by	deprecated	member of	is about	parent class ID	parent class	Subclass ID	Subclass axiom	created	english exact syn.	definition	definition source	example of usage	term editor	curation status	editor note	comment	in subset	database cross reference	see also	Equivalence axiom	Git Branch	image	english broad synonym	english narrow synonym	english related synonym	British english syn.	Italian syn.	French syn.	German syn.	Spanish syn.	Portuguese syn.
ID			AL rdfs:label@en	TYPE	AI 'term replaced by'		A owl:deprecated	SC 'member of' some % SPLIT=| 	SC 'is about' some % SPLIT=|	SC % SPLIT=|		SC % SPLIT=|		AT dc:date^^xsd:dateTime	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	A IAO:0000112	A IAO:0000117 SPLIT=|	AI IAO:0000114	A IAO:0000116	AL rdfs:comment@en	AT inSubset^^xsd:string SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	A rdfs:seeAlso SPLIT=|	EC %		AI schema:image	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|
	organism																																				
GENEPIO:0100000		Y	RmYN02	class						NCBITaxon:10239	Viruses			2022-01-19T18:23:15.862Z		A severe acute respiratory syndrome-related coronavirus which is 1) bat-derived, 2) sharing 93.3% nucleotide identify with SARS-CoV-2, and 3) contains an insertion at the S1/S2 cleavage site in the spike protein.	https://en.wikipedia.org/wiki/RmYN02		0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19				rhiannon-PHA4GE-mints										
	purpose of sampling																																				
GENEPIO:0100219	Placed where HSO has their "sampling strategy" that this will eventually be replaced by. Added "specification" to the end of the term so there is now confusion for ROBOT when HSO "sampling strategy" is eventually added.	Y	sampling strategy specification	class						IAO:0000033	directive information entity			2022-01-19T18:23:15.862Z		A directive information entity which realizes sample strategy specifications.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100001		Y	cluster/outbreak investigation strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z		A sampling strategy in which individuals are chosen for investigation into a disease cluster or outbreak.			0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.	The terms cluster and outbreak both describe the occurrence of new disease cases within a particular location and time period. The number of cases within a cluster are not necessarily greater than what is expected, however in an outbreak the number of cases does exceed the usual norm. In an outbreak the cases are confirmed to be epidemiologically linked while in a cluster an epidemiological connection is only suspected. Not all clusters are outbreaks, however each cluster needs to be investigated. [Source: https://covid19evidencereviews.saskhealthauthority.ca/en/permalink/coviddoc153]	Covid-19														
GENEPIO:0100002		Y	diagnostic testing strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z		A sampling strategy in which individuals are sampled in the context of diagnostic testing.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100003		Y	research strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z		A sampling strategy in which individuals are sampled in order to perform research.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100024		Y	protocol testing strategy	class						GENEPIO:0100003	research			2022-01-19T18:23:15.862Z		A research sampling strategy in which samples are collected in order to test a method or protocol.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100004		Y	surveillance strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z		A sampling strategy in which individuals are sampled for surveillance investigations.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	purpose of sequencing																																				
GENEPIO:0100005		Y	baseline surveillance strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z	random sampling	A surveillance sampling strategy in which baseline is established at the beginning of a study or project by the selection of sample units via random sampling.			0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.	Such that each possible unit has a fixed and known or equal probability of selection. [Source: "Random Sample" (p.238) in Porta, M. (2014). A Dictionary of Epidemiology (6th ed.). Oxford University Press, Incorporated.]	Covid-19														
GENEPIO:0100006		Y	targeted surveillance strategy	class						GENEPIO:0100219	sampling strategy specification			2022-01-19T18:23:15.862Z	non-random sampling	A surveillance sampling strategy in which an aspired outcome is explicity stated.	"Target" (p.279) in Porta, M. (2014). A Dictionary of Epidemiology (6th ed.). Oxford University Press, Incorporated.		0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100007		Y	priority surveillance project strategy	class						GENEPIO:0100006	targeted surveillance			2022-01-19T18:23:15.862Z		A targeted surveillance strategy which is considered important and/or urgent.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100008		Y	screening for Variants of Concern strategy	class						GENEPIO:0100007	priority surveillance project			2022-01-19T18:23:15.862Z	screening for VoC|screening for VOC	A targeted surveillance strategy in which the aim is early detection of variants of concern (VoC) in individuals.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100273		Y	sample has epidemiological link to Variant of Concern strategy	class						GENEPIO:0100008	screening for Variants of Concern			2022-01-19T18:23:15.862Z	sample has epidemiological link to VoC	A variant surveillance strategy in which a sample is sequenced because the individual from which the sample is derived has a known epidemiological link to a variant case.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100274		Y	sample has epidemiological link to Omicron variant strategy	class						GENEPIO:0100273	sample has epidemiological link to Variant of Concern			2022-01-19T18:23:15.862Z		A variant surveillance strategy in which a sample is sequenced because the individual from which the sample is derived has a known epidemiological link to an Omicron variant case.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100009		Y	longitudinal surveillance strategy	class						GENEPIO:0100007	priority surveillance project			2022-01-19T18:23:15.862Z	repeat sampling of individuals	A priority surveillance strategy in which subsets of a defined population can be identified who are, have been, or in the future may be exposed or not exposed - or exposed in different degrees - to a disease of interest and are selected to under go repeat sampling over a defined period of time.	"Cohort Study" (p.50) in Porta, M. (2014). A Dictionary of Epidemiology (6th ed.). Oxford University Press, Incorporated.		0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100010		Y	re-infection surveillance strategy	class						GENEPIO:0100007	priority surveillance project			2022-01-19T18:23:15.862Z		A priority surveillance strategy in which a population that previously tested positive for a disease of interest, and since confirmed to have recovered via a negative test, are monitored for positive test indication of re-infection with the disease of interest within a defined period of time.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100011		Y	vaccine escape surveillance strategy	class						GENEPIO:0100007	priority surveillance project			2022-01-19T18:23:15.862Z		A priority surveillance strategy in which individuals are monitored for investigation into vaccine escape, i.e., identifying variants that contain mutations that counteracted the immunity provided by vaccine(s) of interest.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100012		Y	travel-associated surveillance strategy	class						GENEPIO:0100007	priority surveillance project			2022-01-19T18:23:15.862Z		A priority surveillance strategy in which individuals are selected if they have a travel history outside of the reporting region within a specified number of days before onset of symptoms.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100013		Y	domestic travel surveillance strategy	class						GENEPIO:0100012	travel-associated surveillance			2022-01-19T18:23:15.862Z		A travel-associated surveillance strategy in which individuals are selected if they have an intranational travel history within a specified number of days before onset of symptoms.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100275		Y	interstate/ interprovincial travel surveillance strategy	class						GENEPIO:0100013	domestic travel surveillance			2022-01-19T18:23:15.862Z		A domestic travel-associated surveillance strategy in which individuals are selected if their travel occurred within a state/province within a nation.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
